CNES,CNES_SALAS,CNES_LEITOS_SUS,HORAS_MEDICOS,HORAS_ENFERMAGEM,SIA_SIH_VALOR,Eficiência,COMPETEN,Erro
0000035,27.0,19.0,1862.6666666666667,4043.3333333333335,174824.73333333337,0.7451377236560782,202401,
0000035,27.0,19.0,1881.3333333333333,4022.3333333333335,175669.97999999998,0.7628479693324847,202402,
0000035,27.0,19.0,1892.0,4005.3333333333335,175176.81833333333,0.8932616067093324,202403,
0000094,9.0,18.0,1099.6666666666667,2805.0,65717.67833333333,1.000000002741667,202401,
0000094,9.0,18.0,1098.0,2795.0,68635.62833333333,0.8556498657447635,202402,
0000094,9.0,18.0,1098.0,2795.0,71006.37166666666,0.8761253640389958,202403,
0000418,117.0,410.0,18485.0,51248.333333333336,3740042.768333333,0.623795981765364,202401,
0000418,117.0,408.5,18110.666666666668,51521.16666666666,3802619.053333333,0.6417286416520714,202402,
0000418,117.0,407.0,17597.0,50826.0,3874772.014999999,0.6477708623085588,202403,
0000426,71.0,630.0,8657.666666666666,35535.333333333336,4444596.193333333,0.8214680670680924,202401,
0000426,71.0,630.0,8666.0,35462.666666666664,4598964.496666667,0.9228060390923594,202402,
0000426,71.0,630.0,8678.333333333334,35364.0,4639792.076666667,0.8048384987695768,202403,
0000477,129.0,465.0,11288.333333333334,38207.0,9576645.376666669,0.9999999988049,202401,
0000477,129.0,465.0,11274.666666666666,38725.0,10143170.948333332,0.9999999954715002,202402,
0000477,129.0,465.0,11249.333333333334,38714.66666666666,9518444.876666669,1.0000000002274667,202403,
0000655,51.0,822.0,22948.33333333333,61601.16666666666,9113419.568333331,0.9999999999083168,202401,
0000655,51.0,822.0,22944.33333333333,61482.333333333336,8817843.743333332,1.0000000028367002,202402,
0000655,51.0,822.0,22634.666666666668,60316.333333333336,8827384.188333333,1.000000003625367,202403,
0000671,25.0,56.0,3344.6666666666665,9166.666666666666,190711.0116666667,0.549736071654771,202401,
0000671,25.0,56.0,3316.0,9126.666666666666,181388.17,0.5157411876155336,202402,
0000671,25.0,56.0,3292.6666666666665,9088.333333333334,193529.40833333333,0.5384264247533893,202403,
0000701,30.5,44.0,2142.0,6204.0,260322.715,0.7770808680631237,202401,
0000701,31.33333333333333,44.0,2145.333333333333,6294.0,248884.145,0.7882213426328889,202402,
0000701,32.166666666666664,44.0,2148.6666666666665,6395.0,264336.63,0.8490122974287229,202403,
0000809,24.0,67.0,4055.0,10900.333333333334,3459921.778333334,1.0000000010383334,202401,
0000809,24.0,67.0,4066.0,10817.666666666666,3432071.793333333,1.0000000041633337,202402,
0000809,24.0,67.0,4073.0,10741.0,3477948.026666667,0.999999994599,202403,
0000981,20.0,87.0,3163.0,10315.0,444816.5316666667,0.5008852910012417,202401,
