CNES,CNES_SALAS,CNES_LEITOS_SUS,HORAS_MEDICOS,HORAS_ENFERMAGEM,SIA_SIH_VALOR,Eficiência,COMPETEN,Erro
0000035,27.0,38.0,1432.0,2086.0,81743.39166666666,0.5760803867571137,202101,
0000035,27.0,38.0,1448.6666666666667,2082.0,86037.59000000001,0.476427872767504,202102,
0000035,27.0,38.0,1454.6666666666667,2078.0,91817.07333333332,0.4917562491681724,202103,
0000035,27.0,38.0,1460.6666666666667,2074.0,91535.10833333334,0.4831632236050756,202104,
0000035,27.0,38.0,1466.6666666666667,2070.0,90382.235,0.5521014563714544,202105,
0000035,27.0,38.0,1467.3333333333333,2066.0,93020.23166666667,0.5792380114785415,202106,
0000035,27.0,38.0,1509.3333333333333,2090.6666666666665,107076.20166666666,0.5752987485275872,202107,
0000035,27.0,38.0,1552.6666666666667,2199.333333333333,113692.72333333331,0.5833190471385438,202108,
0000035,27.0,38.0,1600.0,2308.0,116314.35666666667,0.5760846932358885,202109,
0000035,27.0,38.0,1643.3333333333333,2416.6666666666665,119485.91166666668,0.5835548505612228,202110,
0000035,27.0,38.5,1686.6666666666667,2525.333333333333,126188.86,0.5781126348576707,202111,
0000035,27.0,39.0,1732.0,2634.0,133996.785,0.5648725554718497,202112,
0000094,9.0,32.0,976.0,1716.0,83282.10166666667,0.9999999906399998,202101,
0000094,9.0,32.0,947.3333333333334,1716.0,84881.88166666667,1.000000003052,202102,
0000094,9.0,32.0,914.6666666666666,1716.0,95401.38166666668,0.999999951546669,202103,
0000094,9.0,32.0,882.0,1716.0,99334.98166666667,1.0000000054,202104,
0000094,9.0,32.0,849.3333333333334,1716.0,96190.48333333334,1.000000000968,202105,
0000094,9.0,32.0,816.6666666666666,1716.0,99219.84,0.9999999976013334,202106,
0000094,9.0,32.0,865.5,1876.3333333333333,100736.92333333334,1.0000000031336669,202107,
0000094,9.0,32.0,939.0,2036.6666666666667,98687.24833333334,0.99999999483,202108,
0000094,9.0,32.0,1020.5,2197.0,97131.84333333334,1.0000000015110002,202109,
0000094,9.0,32.0,1102.0,2357.333333333333,92250.23333333334,1.0000000121546668,202110,
0000094,9.0,32.0,1183.5,2517.6666666666665,90319.85333333332,1.0000000713550057,202111,
0000094,9.0,32.0,1265.0,2678.0,90089.48666666668,0.9999999950900004,202112,
0000418,117.0,418.6666666666667,19956.0,39819.0,3365506.713333333,0.6199465178400813,202101,
0000418,117.0,414.3333333333333,19469.0,38348.0,3174079.1300000004,0.5727626919925319,202102,
0000418,117.0,410.0,19002.0,36976.0,3008707.096666666,0.6029756627236194,202103,
0000418,117.0,411.6666666666667,19034.0,37363.0,3079508.313333333,0.6190133672518754,202104,
0000418,117.0,414.3333333333333,19054.0,37837.0,3295522.598333333,0.6233553827212762,202105,
0000418,117.0,417.0,19078.0,38359.0,3518220.105,0.6388958605438975,202106,
0000418,117.0,419.6666666666667,18994.0,38787.0,3469169.4599999995,0.5735277685251935,202107,
0000418,117.0,419.6666666666667,18938.0,39323.0,3567723.373333333,0.664209563166752,202108,
0000418,117.0,419.6666666666667,18873.0,40187.0,3564810.77,0.6636279487841665,202109,
0000418,117.0,418.0,18752.0,40683.0,3447356.323333333,0.6492961631019453,202110,
0000418,117.0,415.3333333333333,18582.0,41230.333333333336,3313075.486666667,0.6659541894929246,202111,
0000418,117.0,412.6666666666667,18418.0,41680.66666666666,3136253.86,0.6494469318643302,202112,
0000426,71.0,635.5,7815.0,18554.0,4156317.048333334,0.8693993054433062,202101,
