CNES,CNES_SALAS,CNES_LEITOS_SUS,HORAS_MEDICOS,HORAS_ENFERMAGEM,SIA_SIH_VALOR,Eficiência,COMPETEN,Erro
0000035,26.0,38.0,1549.3333333333333,2146.0,154437.45166666666,0.5772668411453695,202001,
0000035,26.0,38.0,1523.3333333333333,2146.0,136612.88499999998,0.5512169324495066,202002,
0000035,26.0,38.0,1500.6666666666667,2141.0,126708.86,0.5411721019977067,202003,
0000035,26.0,38.0,1474.6666666666667,2131.0,110782.865,0.597910257934334,202004,
0000035,26.0,38.0,1448.6666666666667,2121.0,98858.85166666668,0.6021622560573239,202005,
0000035,26.166666666666668,38.0,1415.3333333333333,2111.0,88103.96,0.5803320741193113,202006,
0000035,26.33333333333333,38.0,1411.3333333333333,2101.0,78463.345,0.547917994689734,202007,
0000035,26.5,38.0,1407.3333333333333,2091.0,65722.86666666665,0.595487075799719,202008,
0000035,26.666666666666668,38.0,1406.6666666666667,2086.0,59794.08833333334,0.6032077072835382,202009,
0000035,26.83333333333333,38.0,1409.3333333333333,2086.0,65743.74833333334,0.6028103784447779,202010,
0000035,27.0,38.0,1412.0,2086.0,72378.54,0.5949657544237339,202011,
0000035,27.0,38.0,1422.0,2086.0,78940.67166666666,0.5019525742208911,202012,
0000094,9.0,32.0,1046.6666666666667,1749.3333333333333,96443.645,1.000000004664,202001,
0000094,9.0,32.0,1040.0,1742.6666666666667,93829.5,1.0000000069693336,202002,
0000094,9.0,32.0,1029.3333333333333,1736.0,90704.41166666668,1.000000009592,202003,
0000094,9.0,32.0,1018.6666666666666,1729.3333333333333,80759.955,1.0000000068933337,202004,
0000094,9.0,32.0,1008.0,1722.6666666666667,78925.90000000001,0.967641845133522,202005,
0000094,9.0,32.0,1004.0,1716.0,82789.15333333334,1.00000001048,202006,
0000094,9.0,32.0,1000.0,1716.0,87116.44,1.0000000033599998,202007,
0000094,9.0,32.0,996.0,1716.0,86960.00166666666,0.99999998724,202008,
0000094,9.0,32.0,992.0,1716.0,79121.27166666667,0.9760885316933492,202009,
0000094,9.0,32.0,988.0,1716.0,85893.63666666666,1.000000024320001,202010,
0000094,9.0,32.0,984.0,1716.0,90723.44666666666,0.820792717630242,202011,
0000094,9.0,32.0,980.0,1716.0,86377.22333333334,0.99999999712,202012,
0000396,393.0,419.6666666666667,32308.666666666668,37636.0,2979670.115,0.7217695110632064,202001,
0000396,393.0,421.0,32316.666666666668,37666.0,2886963.3516666666,0.6528002321405271,202002,
0000396,393.0,421.0,32333.33333333333,37690.0,2756437.4066666667,0.6600343772172891,202003,
0000396,393.0,421.0,32403.0,37733.0,2528765.11,0.6438014566172623,202004,
0000396,393.0,424.0,32483.33333333333,37776.0,2226814.583333333,0.7109015129098426,202005,
0000396,393.0,427.0,32563.666666666668,37819.0,2200808.2616666667,0.7002245557857729,202006,
0000396,393.0,427.0,32651.33333333333,37862.0,2135076.2583333333,0.6639225869543998,202007,
0000396,393.0,427.0,32771.666666666664,37870.0,2090399.165,0.6701807816610834,202008,
0000418,117.0,407.0,19430.0,37357.0,3590501.2000000007,0.6911200999674469,202001,
0000418,117.0,407.0,19400.0,37325.0,3431299.215,0.6939986040479198,202002,
0000418,117.0,407.0,19360.0,37282.0,3330539.748333333,0.6251684096302552,202003,
0000418,117.0,407.0,19298.0,37232.0,2996356.9150000005,0.6313767734366011,202004,
0000418,117.0,407.0,19215.0,37177.0,2800968.955,0.5557307356444969,202005,
0000418,117.0,411.3333333333333,19233.0,37735.0,2740902.0083333333,0.5504172979930857,202006,
0000418,117.0,416.1666666666667,19634.0,39140.0,2778565.0516666663,0.5656376595281782,202007,
0000418,117.0,421.0,20057.0,40560.0,2974588.1333333333,0.6050561482683671,202008,
0000418,117.0,425.8333333333333,20484.0,41941.0,3187015.1216666666,0.635325859815151,202009,
0000418,117.0,426.3333333333333,20482.0,41931.0,3400585.7,0.611105525230458,202010,
0000418,117.0,426.8333333333333,20497.0,41916.0,3506146.1733333333,0.586100509801699,202011,
0000418,117.0,423.0,20411.0,41275.0,3434054.4966666666,0.6379634452145919,202012,
0000426,71.0,600.0,7725.666666666667,18783.0,4796699.268333334,0.9801338709793064,202001,
0000426,71.0,600.0,7757.0,18727.0,4715549.125,0.9517682598431556,202002,
0000426,71.0,601.6666666666666,7788.333333333333,18671.0,4454179.88,0.9069101514536384,202003,
0000426,71.0,605.0,7819.666666666667,18615.0,4145853.518333333,0.8726559962098105,202004,
0000426,71.0,613.8333333333334,7812.333333333333,18594.0,3835725.973333333,0.8425115040106169,202005,
0000426,71.0,622.6666666666666,7805.0,18573.0,3717672.16,0.8027652748316112,202006,
0000426,71.0,629.8333333333334,7805.0,18573.0,3761621.92,0.8342013570711381,202007,
0000426,71.0,637.0,7805.0,18573.0,3810843.4933333336,0.8229543533204932,202008,
0000426,71.0,642.0,7805.0,18573.0,3977637.843333333,0.8376690288526478,202009,
0000426,71.0,640.3333333333334,7805.0,18573.0,4162873.938333334,0.8659275575540964,202010,
0000426,71.0,638.1666666666666,7808.333333333333,18568.0,4392405.47,0.8701783623416037,202011,
0000426,71.0,636.0,7811.666666666667,18563.0,4344630.118333333,0.8801589050255266,202012,
0000477,129.0,415.0,9785.333333333334,29095.0,4867294.43,0.9445575993932837,202001,
0000477,129.0,415.0,9777.333333333334,28736.666666666668,4941670.971666667,0.934439482783219,202002,
0000477,129.0,414.6666666666667,9804.0,29136.666666666668,4936558.055,0.9316128314347024,202003,
0000477,129.0,423.6666666666667,9947.333333333334,29531.666666666668,4778890.323333333,0.9192153299383652,202004,
0000477,129.0,432.6666666666667,10102.0,29833.33333333333,4807188.698333333,0.964001046906592,202005,
0000477,129.0,441.6666666666667,10226.666666666666,29988.33333333333,4803653.573333333,0.9760270353008402,202006,
0000477,129.0,441.3333333333333,10341.333333333334,30371.666666666668,4769368.67,0.9136738545239772,202007,
0000477,129.0,441.0,10491.333333333334,30745.0,4595667.918333333,0.9540409291423668,202008,
0000477,129.0,441.0,10603.333333333334,30613.33333333333,4526896.42,0.9483846891501824,202009,
0000477,129.0,431.6666666666667,10604.0,30481.666666666668,4630681.181666667,0.904308029323768,202010,
0000477,129.0,422.3333333333333,10588.0,30426.666666666668,4700303.258333334,0.8684497509822029,202011,
0000477,129.0,417.3333333333333,10630.0,30433.33333333333,4752822.465,0.8837329111422649,202012,
0000531,30.0,23.666666666666668,1612.3333333333333,5494.666666666667,72171.75166666666,0.9999999341963384,202008,
0000531,30.0,23.0,1687.0,5863.0,72870.24833333334,0.999999988111,202009,
0000531,30.0,22.33333333333333,1732.0,5834.666666666667,78527.205,0.9999998297386952,202010,
0000531,30.0,21.666666666666668,1728.6666666666667,5753.0,70225.55166666665,1.0000000988226765,202011,
0000531,30.0,18.5,1728.6666666666667,5691.333333333333,58044.56666666666,0.7960607137765453,202012,
0000604,33.0,33.333333333333336,1870.6666666666667,4885.0,121804.34333333334,0.7686766543030725,202008,
0000604,33.0,28.0,1971.6666666666667,5335.0,130931.63666666666,0.834164331492152,202009,
0000604,33.0,22.666666666666668,2042.6666666666667,5785.0,149816.945,0.9636639010406114,202010,
0000604,33.0,17.333333333333332,2047.0,5950.0,139589.86666666667,1.000000008598,202011,
0000604,33.0,12.0,2051.333333333333,6115.0,112116.40833333333,0.999999999695,202012,
0000655,49.0,822.0,19190.666666666668,38892.0,10192433.715000002,1.0000000013293333,202001,
0000655,49.0,822.0,19335.33333333333,38879.0,10208424.471666666,1.0000000001570668,202002,
0000655,49.0,822.0,19520.0,39022.0,10097630.415,1.0000000002154,202003,
0000655,49.0,822.0,19640.666666666668,39154.0,9593308.148333332,1.0000000019535331,202004,
0000655,49.0,822.0,19521.33333333333,39493.0,9364890.23,0.9999999992489668,202005,
0000655,49.0,822.0,19402.0,39828.0,8919815.52,1.0000000009446002,202006,
0000655,49.0,822.0,19705.33333333333,40971.0,8647297.370000001,1.0000000012662331,202007,
0000655,49.0,822.0,20008.666666666668,42114.0,8517575.835,1.000000000346,202008,
0000655,49.0,822.0,20284.0,44004.333333333336,8512625.911666667,1.0000000028345668,202009,
0000655,49.0,822.0,20559.33333333333,45902.66666666666,8893293.536666667,1.000000001761267,202010,
0000655,49.0,822.0,21074.666666666668,47594.0,9147263.558333334,0.9999999985052668,202011,
0000655,49.0,822.0,21594.0,50069.333333333336,9565669.805,0.9999999989469336,202012,
0000671,28.0,50.0,2973.333333333333,7875.0,235312.685,0.6899251291486053,202001,
0000671,28.0,50.0,2975.333333333333,7945.0,229422.1416666667,0.6756333437578952,202002,
0000671,27.5,50.0,2988.0,8050.0,224917.09166666667,0.6625219905212382,202003,
0000671,27.0,50.0,3002.333333333333,8290.0,209750.9933333333,0.680761759191682,202004,
0000671,26.5,50.0,3093.333333333333,8749.333333333334,198518.52666666664,0.6316128245613256,202005,
0000671,26.0,56.333333333333336,3177.333333333333,9182.666666666666,188739.31166666668,0.5628391528022888,202006,
0000671,25.5,57.333333333333336,3258.0,9591.0,212252.2233333333,0.6303728455732847,202007,
0000671,25.0,58.333333333333336,3348.0,9991.0,236311.525,0.7062535547406584,202008,
0000671,25.0,59.333333333333336,3438.0,10356.0,238778.4033333333,0.7271500546877632,202009,
0000671,25.0,60.333333333333336,3500.0,10521.0,244481.47666666663,0.7197219898771322,202010,
0000671,25.0,61.333333333333336,3471.333333333333,10431.666666666666,263424.7,0.6409091229927116,202011,
0000671,25.0,56.0,3446.333333333333,10358.333333333334,258500.01166666663,0.7254138488151664,202012,
0000701,30.0,44.0,2033.3333333333333,4795.0,217563.23,0.7075385530230159,202001,
0000701,30.0,44.0,2026.6666666666667,4815.0,224275.6683333333,0.733225211552666,202002,
0000701,30.0,44.0,2020.0,4835.0,248343.37833333333,0.8092749921089912,202003,
0000701,30.0,44.0,2016.0,4860.0,250592.12333333332,0.8223864678340236,202004,
0000701,30.0,44.0,2010.6666666666667,4935.0,264543.12166666664,0.7672790026551224,202005,
0000701,30.0,44.0,2017.6666666666667,5010.0,281209.5466666667,0.7991205550915662,202006,
0000701,30.0,44.0,2033.0,5092.333333333333,292850.565,0.8131843431941133,202007,
0000701,30.0,44.0,2051.6666666666665,5174.666666666667,283610.9333333333,0.8104416180108938,202008,
0000701,30.0,44.0,2070.333333333333,5257.0,268714.0783333333,0.7936176372336866,202009,
0000701,30.0,44.0,2092.333333333333,5344.333333333333,268382.42,0.804682609282198,202010,
0000701,30.0,44.0,2115.6666666666665,5381.666666666667,261058.4283333333,0.8631520912889936,202011,
0000701,30.0,44.0,2130.6666666666665,5419.0,249840.925,0.889557336542851,202012,
0000809,24.0,61.66666666666666,3507.333333333333,5607.0,3091677.1616666666,1.000000010952,202001,
0000809,24.0,62.0,3535.0,5657.0,3104431.278333333,1.000000012399,202002,
0000809,24.0,62.333333333333336,3556.0,5877.0,3022391.8966666665,0.9999999985613331,202003,
0000809,24.0,63.0,3560.0,6097.0,2884584.763333333,1.000000001709,202004,
0000809,24.0,63.66666666666666,3598.0,6302.0,2683998.635,0.9999999965873334,202005,
0000809,24.0,64.0,3636.0,6507.0,2503753.146666667,1.000000004512,202006,
0000809,24.0,64.66666666666667,3677.3333333333335,6806.0,2422691.3000000003,1.0000000010773331,202007,
0000809,24.0,65.33333333333333,3712.6666666666665,7075.0,2397449.49,1.0000000019486668,202008,
0000809,24.0,66.0,3748.0,7174.0,2428639.278333334,1.00000000567,202009,
0000809,24.0,66.33333333333333,3793.3333333333335,7216.0,2492617.035,1.000000002796,202010,
0000809,24.0,66.66666666666667,3798.6666666666665,7258.0,2663839.251666667,1.000000003818,202011,
0000809,24.0,67.0,3804.0,7300.0,2909557.0400000005,1.000000000348,202012,
0000981,20.0,88.0,3291.6666666666665,7665.0,307442.4766666667,0.4151256330705616,202001,
0000981,20.0,88.0,3312.0,7661.0,301543.88666666666,0.4095327534141942,202002,
0000981,20.0,88.0,3324.333333333333,7652.0,311731.86666666664,0.4125853544526114,202003,
0000981,20.0,88.0,3322.6666666666665,7648.0,302866.19,0.4150675942689129,202004,
0000981,20.0,88.0,3321.333333333333,7639.0,289895.8983333334,0.4209663814440803,202005,
0000981,20.0,89.0,3412.5,8001.0,307762.26,0.4724861929913366,202006,
0000981,20.0,90.0,3497.0,8367.0,341102.16333333333,0.5305071102408878,202007,
0000981,20.0,91.0,3580.833333333333,8722.0,346469.9466666667,0.4976481059223469,202008,
0000981,20.0,92.0,3585.1666666666665,9038.666666666666,381896.4966666666,0.4353142199120876,202009,
0000981,20.0,93.0,3585.5,9350.333333333334,372363.93,0.5388088395194447,202010,
0000981,20.0,94.0,3585.833333333333,9662.0,406547.045,0.5636724476749578,202011,
0000981,20.0,94.0,3493.6666666666665,9598.666666666666,416049.4916666667,0.4993125724174619,202012,
0001015,11.0,50.0,960.0,3294.833333333333,242781.16166666665,0.8500096721363689,202001,
0001015,11.0,50.0,944.0,3405.6666666666665,229296.545,0.8105571874651004,202002,
0001015,11.0,57.0,928.0,3516.5,215481.61333333337,0.7527171507787879,202003,
0001015,11.0,64.0,915.3333333333334,3627.3333333333335,199746.9833333333,0.8437491686236746,202004,
0001015,11.0,72.66666666666667,929.3333333333334,3768.1666666666665,177118.88166666668,0.7573830192069186,202005,
0001015,11.166666666666666,81.33333333333333,913.3333333333334,3864.0,159837.095,0.6562529509476249,202006,
0001015,11.333333333333334,90.0,913.3333333333334,3849.0,147376.32666666666,0.6668235273288486,202007,
0001015,11.5,90.0,910.0,3834.0,134205.2383333333,0.6121107464243518,202008,
0001015,11.666666666666666,83.0,906.6666666666666,3819.0,124553.88833333337,0.5825786430380357,202009,
0001015,11.833333333333334,76.0,900.0,3794.0,130190.34,0.5800335402559892,202010,
0001015,12.0,67.33333333333333,866.6666666666666,3739.0,135498.93499999997,0.6124481726675497,202011,
0001015,12.0,58.66666666666666,863.3333333333334,3719.0,132832.05166666667,0.6394743027962024,202012,
0001546,7.0,119.0,2384.0,4285.333333333333,180566.68833333327,0.9999999973306664,202001,
0001546,7.0,119.0,2382.0,4282.0,175490.41666666666,0.9999999172100044,202002,
0001546,7.0,119.0,2390.0,4272.0,169241.775,0.9999996962700928,202003,
0001546,7.0,119.0,2445.6666666666665,4280.333333333333,157520.49333333332,0.9999996340684684,202004,
0001546,7.0,119.0,2501.333333333333,4288.666666666667,144411.325,1.0000001103866791,202005,
0001546,7.0,119.0,2533.0,4297.0,132721.4,0.9999995210022292,202006,
0001546,7.0,119.0,2564.6666666666665,4302.333333333333,129058.05333333334,0.99999962641681,202007,
0001546,7.0,119.0,2596.333333333333,4310.666666666667,128009.02666666666,0.9999998504863568,202008,
0001546,7.0,119.0,2628.0,4319.0,126572.05333333334,0.999999897572012,202009,
0001546,7.0,119.0,2616.0,4319.0,133309.62333333332,0.99999986242002,202010,
0001546,7.0,119.0,2604.0,4319.0,119517.39833333332,0.6292583365967571,202011,
0001546,7.0,119.0,2600.0,4324.0,145796.84833333333,0.5313674770897413,202012,
0003778,77.0,163.0,3490.5,9238.0,983345.06,1.0000000034055003,202001,
0003778,77.0,163.0,3521.0,9238.0,977353.475,0.9538284073110423,202002,
0003778,77.0,163.0,3549.5,9238.0,930195.9333333336,0.95166941097146,202003,
0003778,77.0,163.0,3567.333333333333,9234.666666666666,805839.85,0.999999996606,202004,
0003778,77.0,163.0,3578.833333333333,9219.333333333334,697417.4933333333,0.9834594878035158,202005,
0003778,77.0,163.0,3586.6666666666665,9186.0,595007.5549999999,0.9999999975313334,202006,
0003778,77.0,163.0,3593.833333333333,9224.666666666666,492330.165,0.8658510904621968,202007,
0003778,77.0,163.0,3590.1666666666665,9263.333333333334,412027.2283333333,0.927836761249096,202008,
0003778,77.0,163.0,3608.5,9302.0,402584.43,0.9999999995723003,202009,
0003778,77.0,163.0,3635.5,9344.0,492098.5116666667,0.8468904185465622,202010,
0003778,77.0,163.0,3666.5,9381.0,580975.1683333333,0.905811467202833,202011,
0003778,77.0,163.0,3703.8333333333335,9454.0,634956.3816666667,0.999999998006,202012,
0003794,30.0,100.0,5383.0,4375.0,345223.905,0.823833379471479,202001,
0003794,30.0,100.0,5376.333333333333,4380.0,334811.25666666665,0.8025444157200384,202002,
0003794,30.0,100.0,5369.666666666667,4400.0,336792.7516666667,0.8495771962092887,202003,
0003794,30.0,100.0,5368.0,4425.0,318809.25333333336,0.7656710859668265,202004,
0003794,30.0,100.0,5389.333333333333,4463.0,305053.30833333335,0.7807174624213705,202005,
0003794,30.0,100.0,5410.666666666667,4511.0,303566.3383333333,0.8227951219210315,202006,
0003794,30.0,100.0,5427.0,4559.0,317186.61333333334,0.6929755323927175,202007,
0003794,30.0,100.0,5477.0,4611.0,323679.555,0.5949997048543055,202008,
0003794,30.0,100.0,5495.333333333333,4643.0,317961.255,0.5989740178158992,202009,
0003794,30.0,100.0,5508.666666666667,4690.0,332574.14,0.6174892376185773,202010,
0003794,30.0,100.0,5499.0,4774.0,341049.0416666667,0.6589577372614814,202011,
0003794,30.0,100.0,5489.333333333333,4888.0,331096.6783333333,0.6390861961758154,202012,
