CNES,CNES_SALAS,CNES_LEITOS_SUS,HORAS_MEDICOS,HORAS_ENFERMAGEM,SIA_SIH_VALOR,Eficiência,COMPETEN,Erro
0000035,26.0,38.0,1566.6666666666667,2156.0,139212.275,0.6124923446864392,201906,
0000035,26.0,38.0,1566.0,2151.0,145858.40666666668,0.6250982773768602,201907,
0000035,26.0,38.0,1562.0,2146.0,164447.43166666667,0.62148905675276,201908,
0000035,26.0,38.0,1565.3333333333333,2146.0,165088.94833333333,0.6545001073346338,201909,
0000035,26.0,38.0,1568.6666666666667,2146.0,164545.94333333333,0.67810187442435,201910,
0000035,26.0,38.0,1572.0,2146.0,156978.59999999998,0.5833584426761915,201911,
0000035,26.0,38.0,1575.3333333333333,2146.0,155101.125,0.6045863068982529,201912,
0000094,9.0,32.0,1068.0,1756.0,98599.08833333332,1.00000000048,201906,
0000094,9.0,32.0,1066.0,1756.0,98561.63166666668,0.9999999588600018,201907,
0000094,9.0,32.0,1064.0,1756.0,98375.67333333334,1.0000000195600005,201908,
0000094,9.0,32.0,1062.0,1756.0,98374.51166666666,0.999999957020002,201909,
0000094,9.0,32.0,1060.0,1756.0,97481.465,0.9999999972800002,201910,
0000094,9.0,32.0,1060.0,1756.0,97298.88833333332,0.9999999996399996,201911,
0000094,9.0,32.0,1053.3333333333333,1756.0,99276.26833333333,0.999999993068,201912,
0000396,393.0,413.0,31456.0,37864.0,2931563.5066666664,0.7232683662693882,201906,
0000396,393.0,413.0,31618.33333333333,37867.0,2947420.92,0.7313653160506401,201907,
0000396,393.0,413.0,31784.0,37870.0,2976883.485,0.7141737772601164,201908,
0000396,393.0,414.3333333333333,31993.33333333333,37734.0,3036806.4416666664,0.7437411411466146,201909,
0000396,393.0,415.6666666666667,32080.0,37592.0,3027902.236666667,0.577845496035085,201910,
0000396,393.0,417.0,32185.666666666668,37606.0,3051166.123333333,0.6783924731848413,201911,
0000396,393.0,418.3333333333333,32291.33333333333,37630.0,2963306.4600000004,0.7200555665695914,201912,
0000418,117.0,432.5,18315.33333333333,36579.0,3725432.34,0.7371588253834056,201906,
0000418,117.0,423.0,18527.33333333333,36720.0,3677558.44,0.7798295741893957,201907,
0000418,117.0,421.3333333333333,18720.666666666668,36826.0,3836693.818333333,0.7029260440842512,201908,
0000418,117.0,418.6666666666667,18923.33333333333,36957.0,3754065.5433333335,0.752132997976181,201909,
0000418,117.0,416.0,19134.0,37095.0,3802183.095,0.7476569707063275,201910,
0000418,117.0,413.0,19356.0,37238.0,3731852.436666667,0.732655905926269,201911,
0000418,117.0,410.0,19452.0,37389.0,3670464.865,0.7103714165496058,201912,
0000426,71.0,600.0,7740.333333333333,19006.33333333333,4156244.576666666,0.9999999943885668,201906,
0000426,71.0,600.0,7711.666666666667,19003.666666666668,4253305.628333333,0.9999999944225668,201907,
0000426,71.0,600.0,7678.333333333333,18961.0,4478161.586666667,0.9999999927582668,201908,
0000426,71.0,600.0,7649.0,18930.0,4659573.801666667,0.9786936348817026,201909,
0000426,71.0,600.0,7638.333333333333,18919.0,4842467.293333334,0.9999999919896668,201910,
0000426,71.0,600.0,7666.333333333333,18879.0,4857155.4383333335,0.9999999888306668,201911,
0000426,71.0,600.0,7694.333333333333,18839.0,4820122.683333334,0.999999990756,201912,
0000477,129.0,415.0,10056.333333333334,31141.666666666668,3959220.38,0.7814329566324696,201906,
0000477,129.0,415.0,9858.0,30860.0,4074771.893333333,0.814869706641179,201907,
0000477,129.0,415.0,9846.0,30758.33333333333,4212410.768333334,0.8338921651429274,201908,
0000477,129.0,415.0,9820.0,30368.33333333333,4381592.475000001,0.8747029715590782,201909,
0000477,129.0,415.0,9794.666666666666,29988.33333333333,4568078.248333333,0.9078101180319276,201910,
0000477,129.0,415.0,9778.666666666666,29720.0,4624478.794999999,0.9271382520009624,201911,
0000477,129.0,415.0,9777.333333333334,29511.666666666668,4726068.068333333,0.9415997081513656,201912,
0000655,49.0,822.0,18182.0,38976.0,10191548.161666667,1.0000000013352002,201906,
0000655,49.0,822.0,18332.0,38996.0,10264074.84,1.0000000017260002,201907,
0000655,49.0,822.0,18496.0,38976.0,10326128.043333331,1.0000000018952,201908,
0000655,49.0,822.0,18890.0,38956.0,10355351.933333332,1.0000000011472,201909,
0000655,49.0,822.0,18936.0,38935.0,10400235.305000002,0.9999999997273,201910,
0000655,49.0,822.0,18982.0,38910.0,10193049.428333333,1.000000000793,201911,
0000655,49.0,822.0,19046.0,38909.0,10216782.931666669,1.0000000011959,201912,
0000671,28.0,50.0,3109.6666666666665,7846.333333333333,289127.91333333333,0.7518486944675646,201906,
0000671,28.0,50.0,3028.6666666666665,7794.666666666667,266158.94833333336,0.7467863964753216,201907,
0000671,28.0,50.0,2999.333333333333,7750.0,259586.29666666663,0.7286898746542649,201908,
0000671,28.0,50.0,2955.333333333333,7727.0,269399.8516666666,0.7605903068073713,201909,
0000671,28.0,50.0,2914.6666666666665,7714.0,253001.24166666667,0.7217120437842771,201910,
0000671,28.0,50.0,2880.6666666666665,7756.0,238050.65833333333,0.7263985642828221,201911,
0000671,28.0,50.0,2928.6666666666665,7808.0,236590.6783333333,0.7011205531802727,201912,
0000701,30.0,44.0,2058.0,4918.333333333333,250757.7066666667,0.7619769935064109,201906,
0000701,30.0,44.0,2052.6666666666665,4895.0,241981.6833333333,0.7346660259179397,201907,
0000701,30.0,44.0,2051.333333333333,4865.0,240663.845,0.7069772964435648,201908,
0000701,30.0,44.0,2050.0,4835.0,229572.415,0.6941161444344384,201909,
