CNES,CNES_SALAS,CNES_LEITOS_SUS,HORAS_MEDICOS,HORAS_ENFERMAGEM,SIA_SIH_VALOR,Eficiência,COMPETEN,Erro
0000094,9.0,20.33333333333333,1177.0,2593.0,76576.60666666666,0.9999999979736668,202301,
0000094,9.0,18.0,1169.6666666666667,2613.0,75446.68666666666,1.0000000160866669,202302,
0000094,9.0,18.0,1158.3333333333333,2633.0,78245.27,0.9999999897473336,202303,
0000094,9.0,18.0,1187.0,2800.5,79780.31166666666,0.999999997135,202304,
0000094,9.0,18.0,1215.6666666666667,2968.0,82862.31,1.000000012780667,202305,
0000094,9.0,18.0,1253.0,3021.0,83212.44333333334,1.0000000419710011,202306,
0000094,9.0,18.0,1290.3333333333333,3059.5,83531.115,0.9999999800775,202307,
0000094,9.0,18.0,1285.5,3086.5,82215.88,1.000000001822,202308,
0000094,9.0,18.0,1283.0,3103.5,77824.42333333334,0.9999999938305,202309,
0000094,9.0,18.0,1240.5,2973.0,75447.46666666666,0.999999994079,202310,
0000094,9.0,18.0,1198.0,2842.5,71560.20666666667,0.9999999942275002,202311,
0000094,9.0,18.0,1146.8333333333333,2826.5,68891.28166666666,0.999999994815,202312,
0000418,117.0,410.0,18762.0,46113.0,3834125.331666667,0.6889912454121713,202301,
0000418,117.0,410.0,18819.33333333333,46304.0,3786778.175,0.6933123549119614,202302,
0000418,117.0,410.0,18852.0,46492.0,3766951.858333334,0.6844225194660009,202303,
0000418,117.0,410.0,18870.666666666668,46548.0,3609885.16,0.6501815706226798,202304,
0000418,117.0,410.0,18883.33333333333,46542.0,3500293.8349999995,0.6319316558121439,202305,
0000418,117.0,410.0,18864.0,47001.0,3488418.2916666665,0.62587149702633,202306,
0000418,117.0,410.0,18826.666666666668,47636.5,3462170.9616666664,0.613293790361543,202307,
0000418,117.0,410.0,18812.0,48159.0,3569315.893333333,0.6129067384990381,202308,
0000418,117.0,410.0,18777.33333333333,48767.5,3592605.193333333,0.6196552794392198,202309,
0000418,117.0,410.0,18746.0,49671.5,3664299.475,0.6214472974267228,202310,
0000418,117.0,410.0,18738.666666666668,50615.5,3588614.178333333,0.6061590825683584,202311,
0000418,117.0,410.0,18735.33333333333,51069.5,3626283.758333333,0.6098753172365539,202312,
0000426,71.0,623.3333333333334,8415.0,18613.0,3425471.1050000004,0.7828363368947018,202301,
0000426,71.0,625.0,8452.333333333334,18609.0,3436230.495,0.8008439134518115,202302,
0000426,71.0,626.6666666666666,8467.0,18609.0,3747627.9683333337,0.8735581542216165,202303,
0000426,71.0,628.3333333333334,8481.666666666666,18594.0,3890829.185,0.6575682459573519,202304,
0000426,71.0,630.0,8508.333333333334,19860.0,4309736.251666667,0.9607109357072184,202305,
0000426,71.0,630.0,8535.0,23213.666666666668,4371442.451666667,0.8576624552181584,202306,
0000426,71.0,630.0,8554.333333333334,26051.33333333333,4471375.024999999,0.788616548840803,202307,
0000426,71.0,630.0,8573.666666666666,28889.0,4459420.991666666,0.729897115988158,202308,
0000426,71.0,630.0,8597.0,31757.666666666668,4419364.083333334,0.7570355880465367,202309,
0000426,71.0,630.0,8619.666666666666,34647.666666666664,4242599.736666666,0.78892128902711,202310,
0000426,71.0,630.0,8637.666666666666,36251.66666666666,4316732.62,0.8020845499487459,202311,
0000426,71.0,630.0,8639.333333333334,35663.0,4545750.291666667,0.8499790493903004,202312,
0000477,129.0,460.1666666666667,11524.333333333334,30087.33333333333,7534946.606666666,1.0000000041776669,202301,
0000477,129.0,466.5,11528.0,30079.0,7536505.653333333,0.9999999933617,202302,
0000477,129.0,466.0,11525.666666666666,30060.666666666668,7737139.941666667,1.0000000026736,202303,
0000477,129.0,465.5,11495.666666666666,30031.33333333333,7720728.646666667,1.0000000033128005,202304,
0000477,129.0,465.0,11469.666666666666,30027.0,8307936.116666667,0.9999999979715336,202305,
0000477,129.0,465.0,11434.666666666666,30184.33333333333,8857772.295,1.0000000052381337,202306,
0000477,129.0,465.0,11431.333333333334,30375.0,9233409.063333333,1.000000004929,202307,
0000477,129.0,465.0,11414.333333333334,31285.666666666668,9365855.426666668,1.0000000055797,202308,
0000477,129.0,465.0,11395.0,32834.666666666664,9542694.328333337,1.0000000037094667,202309,
0000477,129.0,465.0,11368.333333333334,34273.0,10158400.708333334,0.9999999967342668,202310,
0000477,129.0,465.0,11342.333333333334,35686.333333333336,10012201.506666666,0.9999999979283,202311,
0000477,129.0,465.0,11308.0,36946.333333333336,9815340.31,0.9999999940592336,202312,
0000531,30.0,6.0,1290.6666666666667,4974.666666666667,18608.451666666664,1.000000014928,202301,
0000604,33.0,12.0,1464.6666666666667,4184.0,74603.84999999999,0.6351104291824818,202301,
0000655,51.0,822.0,23915.33333333333,65168.333333333336,8627769.883333333,1.0000000049598667,202301,
0000655,51.0,822.0,23918.0,64920.0,8331007.618333333,1.000000003273,202302,
0000655,51.0,822.0,23934.0,65183.0,8254198.859999999,0.9999999998973002,202303,
0000655,51.0,822.0,23902.0,64811.0,8142728.101666667,0.9999999982038,202304,
0000655,51.0,822.0,23769.33333333333,63726.0,8118824.368333333,1.0000000012636,202305,
0000655,51.0,822.0,23654.666666666668,62681.0,8190378.976666667,1.0000000010835337,202306,
0000655,51.0,822.0,23502.0,61577.0,8053367.736666667,1.0000000005657002,202307,
